"datetime","Dimmer_Regulation"
2023-12-09 14:31:45,15%
2023-12-09 14:31:46,20%
2023-12-09 14:31:47,20%
2023-12-09 14:31:48,25%
2023-12-09 14:31:49,30%
2023-12-09 14:31:50,35%
2023-12-09 14:31:51,40%
2023-12-09 14:31:52,45%
2023-12-09 14:31:53,50%
2023-12-09 14:31:54,55%
2023-12-09 14:31:55,50%
2023-12-09 14:31:56,50%
2023-12-09 14:31:57,50%
2023-12-09 14:31:58,50%
2023-12-09 14:31:59,50%
2023-12-09 14:32:00,50%
2023-12-09 14:32:01,50%
2023-12-09 14:32:02,50%
2023-12-09 14:32:03,50%
2023-12-09 14:32:04,50%
2023-12-09 14:32:05,50%
2023-12-09 14:32:06,50%
2023-12-09 14:32:07,50%
2023-12-09 14:32:08,50%
2023-12-09 14:32:09,50%
2023-12-09 14:32:10,50%
2023-12-09 14:32:11,50%
2023-12-09 14:32:12,50%
2023-12-09 14:32:13,50%
2023-12-09 14:32:14,50%
2023-12-09 14:32:15,50%
2023-12-09 14:32:16,50%
2023-12-09 14:32:17,50%
2023-12-09 14:32:18,50%
2023-12-09 14:32:19,50%
2023-12-09 14:32:20,50%
2023-12-09 14:32:21,50%
2023-12-09 14:32:22,50%
2023-12-09 14:32:23,50%
2023-12-09 14:32:24,50%
2023-12-09 14:32:25,50%
2023-12-09 14:32:26,50%
2023-12-09 14:32:27,50%
2023-12-09 14:32:28,50%
2023-12-09 14:32:29,50%
2023-12-09 14:32:30,50%
2023-12-09 14:32:31,50%
2023-12-09 14:32:32,50%
2023-12-09 14:32:33,50%
2023-12-09 14:32:34,50%
2023-12-09 14:32:35,50%
2023-12-09 14:32:36,50%
2023-12-09 14:32:37,50%
2023-12-09 14:32:38,50%
2023-12-09 14:32:39,50%
2023-12-09 14:32:40,50%
2023-12-09 14:32:41,50%
2023-12-09 14:32:42,50%
2023-12-09 14:32:43,50%
2023-12-09 14:32:44,50%
2023-12-09 14:32:45,50%
2023-12-09 14:32:46,50%
2023-12-09 14:32:47,50%
2023-12-09 14:32:48,50%
2023-12-09 14:32:49,50%
2023-12-09 14:32:50,50%
2023-12-09 14:32:51,50%
2023-12-09 14:32:52,50%
2023-12-09 14:32:53,50%
2023-12-09 14:32:54,50%
2023-12-09 14:32:55,50%
2023-12-09 14:32:56,50%
2023-12-09 14:32:57,50%
2023-12-09 14:32:58,50%
2023-12-09 14:32:59,50%
2023-12-09 14:33:00,50%
2023-12-09 14:33:01,50%
2023-12-09 14:33:02,50%
2023-12-09 14:33:03,50%
2023-12-09 14:33:04,50%
2023-12-09 14:33:05,50%
2023-12-09 14:33:06,50%
2023-12-09 14:33:07,50%
2023-12-09 14:33:08,50%
2023-12-09 14:33:09,50%
2023-12-09 14:33:10,50%
2023-12-09 14:33:11,50%
2023-12-09 14:33:12,50%
2023-12-09 14:33:13,50%
2023-12-09 14:33:14,50%
2023-12-09 14:33:15,50%
2023-12-09 14:33:16,50%
2023-12-09 14:33:17,50%
2023-12-09 14:33:18,50%
2023-12-09 14:33:19,50%
2023-12-09 14:33:20,50%
2023-12-09 14:33:21,50%
2023-12-09 14:33:22,50%
2023-12-09 14:33:23,50%
2023-12-09 14:33:24,50%
2023-12-09 14:33:25,50%
2023-12-09 14:33:26,50%
2023-12-09 14:33:27,50%
2023-12-09 14:33:28,50%
2023-12-09 14:33:29,50%
2023-12-09 14:33:30,50%
2023-12-09 14:33:31,50%
2023-12-09 14:33:32,50%
2023-12-09 14:33:33,50%
2023-12-09 14:33:34,50%
2023-12-09 14:33:35,50%
2023-12-09 14:33:36,50%
2023-12-09 14:33:37,50%
2023-12-09 14:33:38,50%
2023-12-09 14:33:39,50%
2023-12-09 14:33:40,50%
2023-12-09 14:33:41,50%
2023-12-09 14:33:42,50%
2023-12-09 14:33:43,50%
2023-12-09 14:33:44,50%
2023-12-09 14:33:45,50%
2023-12-09 14:33:46,50%
2023-12-09 14:33:47,50%
2023-12-09 14:33:48,50%
2023-12-09 14:33:49,50%
2023-12-09 14:33:50,50%
2023-12-09 14:33:51,50%
2023-12-09 14:33:52,50%
2023-12-09 14:33:53,50%
2023-12-09 14:33:54,50%
2023-12-09 14:33:55,50%
2023-12-09 14:33:56,50%
2023-12-09 14:33:57,50%
2023-12-09 14:33:58,50%
2023-12-09 14:33:59,50%
2023-12-09 14:34:00,50%
2023-12-09 14:34:01,50%
2023-12-09 14:34:03,50%
2023-12-09 14:34:04,50%
2023-12-09 14:34:05,50%
2023-12-09 14:34:06,50%
2023-12-09 14:34:07,50%
2023-12-09 14:34:08,50%
2023-12-09 14:34:09,50%
2023-12-09 14:34:10,50%
2023-12-09 14:34:11,50%
2023-12-09 14:34:12,50%
2023-12-09 14:34:13,50%
2023-12-09 14:34:14,50%
2023-12-09 14:34:15,50%
2023-12-09 14:34:16,50%
2023-12-09 14:34:17,50%
2023-12-09 14:34:18,50%
2023-12-09 14:34:19,50%
2023-12-09 14:34:20,50%
2023-12-09 14:34:21,50%
2023-12-09 14:34:22,50%
2023-12-09 14:34:23,50%
2023-12-09 14:34:24,50%
2023-12-09 14:34:25,50%
2023-12-09 14:34:26,50%
2023-12-09 14:34:27,50%
2023-12-09 14:34:28,50%
2023-12-09 14:34:29,50%
2023-12-09 14:34:30,50%
2023-12-09 14:34:31,50%
2023-12-09 14:34:32,50%
2023-12-09 14:34:33,50%
2023-12-09 14:34:34,50%
2023-12-09 14:34:35,50%
2023-12-09 14:34:36,50%
2023-12-09 14:34:37,50%
2023-12-09 14:34:38,50%
2023-12-09 14:34:39,50%
2023-12-09 14:34:40,50%
2023-12-09 14:34:41,50%
2023-12-09 14:34:42,50%
2023-12-09 14:34:43,50%
2023-12-09 14:34:44,50%
2023-12-09 14:34:45,50%
2023-12-09 14:34:46,50%
2023-12-09 14:34:47,50%
2023-12-09 14:34:48,50%
2023-12-09 14:34:49,50%
2023-12-09 14:34:50,50%
2023-12-09 14:34:51,50%
2023-12-09 14:34:52,50%
2023-12-09 14:34:53,50%
2023-12-09 14:34:54,50%
2023-12-09 14:34:55,50%
2023-12-09 14:34:56,50%
2023-12-09 14:34:57,50%
2023-12-09 14:34:58,50%
2023-12-09 14:34:59,50%
2023-12-09 14:35:00,50%
2023-12-09 14:35:01,50%
2023-12-09 14:35:02,50%
2023-12-09 14:35:03,50%
2023-12-09 14:35:04,50%
2023-12-09 14:35:05,50%
2023-12-09 14:35:06,50%
2023-12-09 14:35:07,50%
2023-12-09 14:35:08,50%
2023-12-09 14:35:09,50%
2023-12-09 14:35:10,50%
2023-12-09 14:35:11,50%
2023-12-09 14:35:12,50%
2023-12-09 14:35:13,45%
2023-12-09 14:35:14,40%
2023-12-09 14:35:15,35%
2023-12-09 14:35:16,30%
2023-12-09 14:35:17,25%
2023-12-09 14:35:18,20%
2023-12-09 14:35:19,15%
2023-12-09 14:35:20,15%
2023-12-09 14:35:21,15%
2023-12-09 14:35:22,15%
2023-12-09 14:35:23,15%
2023-12-09 14:35:24,15%
2023-12-09 14:35:25,15%
2023-12-09 14:35:26,15%
2023-12-09 14:35:27,15%
2023-12-09 14:35:28,15%
2023-12-09 14:35:29,15%
2023-12-09 14:35:30,15%
2023-12-09 14:35:31,15%
2023-12-09 14:35:32,15%
2023-12-09 14:35:33,15%
2023-12-09 14:35:34,15%
2023-12-09 14:35:35,15%
2023-12-09 14:35:36,15%
2023-12-09 14:35:37,15%
2023-12-09 14:35:38,15%
2023-12-09 14:35:39,15%
2023-12-09 14:35:40,15%
2023-12-09 14:35:41,15%
2023-12-09 14:35:42,15%
2023-12-09 14:35:43,15%
2023-12-09 14:35:44,15%
2023-12-09 14:35:45,15%
2023-12-09 14:35:46,15%
2023-12-09 14:35:47,15%
2023-12-09 14:35:48,15%
2023-12-09 14:35:49,15%
2023-12-09 14:35:50,15%
2023-12-09 14:35:51,15%
2023-12-09 14:35:52,15%
2023-12-09 14:35:53,15%
2023-12-09 14:35:54,15%
2023-12-09 14:35:55,15%
2023-12-09 14:35:56,15%
2023-12-09 14:35:57,15%
2023-12-09 14:35:58,15%
2023-12-09 14:35:59,15%
2023-12-09 14:36:00,15%
2023-12-09 14:36:01,15%
2023-12-09 14:36:02,15%
2023-12-09 14:36:03,15%
2023-12-09 14:36:04,15%
2023-12-09 14:36:05,15%
2023-12-09 14:36:06,15%
2023-12-09 14:36:07,15%
2023-12-09 14:36:08,15%
2023-12-09 14:36:09,15%
2023-12-09 14:36:10,15%
2023-12-09 14:36:11,15%
2023-12-09 14:36:12,15%
2023-12-09 14:36:13,15%
2023-12-09 14:36:14,15%
2023-12-09 14:36:15,15%
2023-12-09 14:36:16,15%
2023-12-09 14:36:17,15%
2023-12-09 14:36:18,15%
2023-12-09 14:36:19,15%
2023-12-09 14:36:20,15%
2023-12-09 14:36:21,15%
2023-12-09 14:36:22,15%
2023-12-09 14:36:23,15%
2023-12-09 14:36:24,15%
2023-12-09 14:36:25,15%
2023-12-09 14:36:26,15%
2023-12-09 14:36:27,15%
2023-12-09 14:36:28,15%
2023-12-09 14:36:29,15%
2023-12-09 14:36:30,15%
2023-12-09 14:36:31,15%
2023-12-09 14:36:32,15%
2023-12-09 14:36:33,15%
2023-12-09 14:36:34,15%
2023-12-09 14:36:35,15%
2023-12-09 14:36:36,15%
2023-12-09 14:36:37,15%
2023-12-09 14:36:38,15%
2023-12-09 14:36:39,15%
2023-12-09 14:36:40,15%
2023-12-09 14:36:41,15%
2023-12-09 14:36:42,15%
2023-12-09 14:36:43,15%
2023-12-09 14:36:44,15%
2023-12-09 14:36:45,15%
2023-12-09 14:36:46,15%
2023-12-09 14:36:47,15%
2023-12-09 14:36:48,15%
2023-12-09 14:36:49,15%
2023-12-09 14:36:50,15%
2023-12-09 14:36:51,15%
2023-12-09 14:36:52,15%
2023-12-09 14:36:53,15%
2023-12-09 14:36:54,15%
2023-12-09 14:36:55,15%
2023-12-09 14:36:56,15%
2023-12-09 14:36:57,15%
2023-12-09 14:36:58,15%
2023-12-09 14:36:59,15%
2023-12-09 14:37:00,15%
2023-12-09 14:37:01,15%
2023-12-09 14:37:02,15%
2023-12-09 14:37:03,20%
2023-12-09 14:37:04,25%
2023-12-09 14:37:05,30%
2023-12-09 14:37:06,30%
2023-12-09 14:37:07,35%
2023-12-09 14:37:08,40%
2023-12-09 14:37:09,45%
2023-12-09 14:37:10,50%
2023-12-09 14:37:11,55%
2023-12-09 14:37:12,60%
2023-12-09 14:37:13,65%
2023-12-09 14:37:14,70%
2023-12-09 14:37:15,75%
2023-12-09 14:37:16,80%
2023-12-09 14:37:17,85%
2023-12-09 14:37:18,90%
2023-12-09 14:37:19,95%
2023-12-09 14:37:20,100%
2023-12-09 14:37:21,100%
2023-12-09 14:37:22,100%
2023-12-09 14:37:23,100%
2023-12-09 14:37:24,100%
2023-12-09 14:37:25,100%
2023-12-09 14:37:26,100%
2023-12-09 14:37:27,100%
2023-12-09 14:37:28,100%
2023-12-09 14:37:29,100%
2023-12-09 14:37:30,100%
2023-12-09 14:37:31,100%
2023-12-09 14:37:32,100%
2023-12-09 14:37:33,100%
2023-12-09 14:37:34,100%
2023-12-09 14:37:35,100%
2023-12-09 14:37:36,100%
2023-12-09 14:37:37,100%
2023-12-09 14:37:38,100%
2023-12-09 14:37:39,100%
2023-12-09 14:37:40,100%
2023-12-09 14:37:41,100%
2023-12-09 14:37:42,100%
2023-12-09 14:37:43,100%
2023-12-09 14:37:44,100%
2023-12-09 14:37:45,100%
2023-12-09 14:37:46,100%
2023-12-09 14:37:47,100%
2023-12-09 14:37:48,100%
2023-12-09 14:37:49,100%
2023-12-09 14:37:50,100%
2023-12-09 14:37:51,100%
2023-12-09 14:37:52,100%
2023-12-09 14:37:53,100%
2023-12-09 14:37:54,100%
2023-12-09 14:37:55,100%
2023-12-09 14:37:56,100%
2023-12-09 14:37:57,100%
2023-12-09 14:37:58,100%
2023-12-09 14:37:59,100%
2023-12-09 14:38:00,100%
2023-12-09 14:38:01,100%
2023-12-09 14:38:02,100%
2023-12-09 14:38:03,100%
2023-12-09 14:38:04,100%
2023-12-09 14:38:05,100%
2023-12-09 14:38:06,100%
2023-12-09 14:38:07,100%
2023-12-09 14:38:08,100%
2023-12-09 14:38:09,100%
2023-12-09 14:38:10,100%
2023-12-09 14:38:11,100%
2023-12-09 14:38:12,100%
2023-12-09 14:38:13,100%
2023-12-09 14:38:14,100%
2023-12-09 14:38:15,100%
2023-12-09 14:38:16,100%
2023-12-09 14:38:17,100%
2023-12-09 14:38:18,100%
2023-12-09 14:38:19,100%
2023-12-09 14:38:20,100%
2023-12-09 14:38:21,100%
2023-12-09 14:38:22,100%
2023-12-09 14:38:23,100%
2023-12-09 14:38:24,100%
2023-12-09 14:38:25,100%
2023-12-09 14:38:26,100%
2023-12-09 14:38:27,100%
2023-12-09 14:38:28,100%
2023-12-09 14:38:29,100%
2023-12-09 14:38:30,100%
2023-12-09 14:38:31,100%
2023-12-09 14:38:32,100%
2023-12-09 14:38:33,100%
2023-12-09 14:38:34,100%
2023-12-09 14:38:35,100%
2023-12-09 14:38:36,100%
2023-12-09 14:38:37,100%
2023-12-09 14:38:38,100%
2023-12-09 14:38:39,100%
2023-12-09 14:38:40,100%
2023-12-09 14:38:41,100%
2023-12-09 14:38:42,100%
2023-12-09 14:38:43,100%
2023-12-09 14:38:44,100%
2023-12-09 14:38:45,100%
2023-12-09 14:38:46,100%
2023-12-09 14:38:47,100%
2023-12-09 14:38:48,100%
2023-12-09 14:38:49,100%
2023-12-09 14:38:50,100%
2023-12-09 14:38:51,100%
2023-12-09 14:38:52,100%
2023-12-09 14:38:53,100%
2023-12-09 14:38:54,100%
2023-12-09 14:38:55,100%
2023-12-09 14:38:56,100%
2023-12-09 14:38:57,100%
2023-12-09 14:38:58,100%
2023-12-09 14:38:59,100%
2023-12-09 14:39:00,100%
2023-12-09 14:39:01,100%
2023-12-09 14:39:02,100%
2023-12-09 14:39:03,100%
2023-12-09 14:39:04,100%
2023-12-09 14:39:05,100%
2023-12-09 14:39:06,100%
2023-12-09 14:39:07,100%
2023-12-09 14:39:08,100%
2023-12-09 14:39:09,100%
2023-12-09 14:39:10,100%
2023-12-09 14:39:11,100%
2023-12-09 14:39:12,100%
2023-12-09 14:39:13,100%
2023-12-09 14:39:14,100%
2023-12-09 14:39:15,100%
2023-12-09 14:39:16,100%
2023-12-09 14:39:17,100%
2023-12-09 14:39:18,100%
2023-12-09 14:39:19,100%
2023-12-09 14:39:20,100%
2023-12-09 14:39:21,100%
2023-12-09 14:39:22,100%
2023-12-09 14:39:23,100%
2023-12-09 14:39:24,95%
2023-12-09 14:39:25,90%
2023-12-09 14:39:26,85%
2023-12-09 14:39:27,80%
2023-12-09 14:39:28,75%
2023-12-09 14:39:29,70%
2023-12-09 14:39:30,65%
2023-12-09 14:39:31,60%
2023-12-09 14:39:32,55%
2023-12-09 14:39:33,50%
2023-12-09 14:39:34,45%
2023-12-09 14:39:35,40%
2023-12-09 14:39:36,35%
2023-12-09 14:39:37,30%
2023-12-09 14:39:38,25%
2023-12-09 14:39:39,20%
2023-12-09 14:39:40,15%
2023-12-09 14:39:41,10%
2023-12-09 14:39:42,5%
2023-12-09 14:39:43,5%
2023-12-09 14:39:44,5%
2023-12-09 14:39:45,5%
2023-12-09 14:39:46,5%
2023-12-09 14:39:47,5%
2023-12-09 14:39:48,5%
2023-12-09 14:39:49,5%
2023-12-09 14:39:50,5%
2023-12-09 14:39:51,5%
2023-12-09 14:39:52,5%
2023-12-09 14:39:53,5%
2023-12-09 14:39:54,5%
2023-12-09 14:39:55,5%
2023-12-09 14:39:56,5%
2023-12-09 14:39:57,5%
2023-12-09 14:39:58,5%
2023-12-09 14:39:59,5%
2023-12-09 14:40:00,5%
2023-12-09 14:40:01,5%
2023-12-09 14:40:02,5%
2023-12-09 14:40:03,5%
2023-12-09 14:40:04,5%
2023-12-09 14:40:05,5%
2023-12-09 14:40:06,5%
2023-12-09 14:40:07,5%
2023-12-09 14:40:08,5%
2023-12-09 14:40:09,5%
2023-12-09 14:40:10,5%
2023-12-09 14:40:11,5%
2023-12-09 14:40:12,5%
2023-12-09 14:40:13,5%
2023-12-09 14:40:14,5%
2023-12-09 14:40:15,5%
2023-12-09 14:40:16,5%
2023-12-09 14:40:17,5%
2023-12-09 14:40:18,5%
2023-12-09 14:40:19,5%
2023-12-09 14:40:20,5%
2023-12-09 14:40:21,5%
2023-12-09 14:40:22,5%
2023-12-09 14:40:23,5%
2023-12-09 14:40:25,5%
2023-12-09 14:40:26,5%
2023-12-09 14:40:27,5%
2023-12-09 14:40:28,5%
2023-12-09 14:40:29,5%
2023-12-09 14:40:30,5%
2023-12-09 14:40:31,5%
2023-12-09 14:40:32,5%
2023-12-09 14:40:33,5%
2023-12-09 14:40:34,5%
2023-12-09 14:40:35,5%
2023-12-09 14:40:36,5%
2023-12-09 14:40:37,5%
2023-12-09 14:40:38,5%
2023-12-09 14:40:39,5%
2023-12-09 14:40:40,5%
2023-12-09 14:40:41,5%
2023-12-09 14:40:42,5%
2023-12-09 14:40:43,5%
2023-12-09 14:40:44,5%
2023-12-09 14:40:45,5%
2023-12-09 14:40:46,5%
2023-12-09 14:40:47,5%
2023-12-09 14:40:48,5%
2023-12-09 14:40:49,5%
2023-12-09 14:40:50,5%
2023-12-09 14:40:51,5%
2023-12-09 14:40:52,5%
2023-12-09 14:40:53,5%
2023-12-09 14:40:54,5%
2023-12-09 14:40:55,5%
2023-12-09 14:40:56,5%
2023-12-09 14:40:57,5%
2023-12-09 14:40:58,5%
2023-12-09 14:40:59,5%

